[2025-11-15 04:40:38] [INFO] discord.client: logging in using static token
[2025-11-15 04:40:39] [INFO] red: Loading packages...
[2025-11-15 04:40:39] [INFO] red: Loaded packages: audio
[2025-11-15 04:40:40] [INFO] discord.gateway: Shard ID 0 has connected to Gateway (Session ID: 2ae9bf5a57b3d5743d71c34126a876ee).
[2025-11-15 04:40:40] [INFO] red: Connected to Discord. Getting ready...
[2025-11-15 04:40:42] [INFO] red.Audio.manager: Managed Lavalink node startup command: /usr/bin/java -Djdk.tls.client.protocols=TLSv1.2 -Xms64M -Xmx15G -jar /redbot/data/cogs/Audio/Lavalink.jar
[2025-11-15 04:40:42] [INFO] red.Audio.manager: Managed Lavalink node started. PID: 68
[2025-11-15 04:40:42] [INFO] red.Audio.manager: Waiting for Managed Lavalink node to be ready
[2025-11-24 09:46:03] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-24 11:56:33] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-24 15:25:14] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-24 16:16:49] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-24 16:29:05] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-24 16:58:42] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-24 20:22:07] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-24 23:27:07] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-25 02:49:47] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-25 03:11:22] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-25 04:17:53] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-25 04:38:30] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-25 05:44:03] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-25 08:25:19] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-25 11:36:57] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-25 12:09:22] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-25 12:39:24] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-25 14:53:30] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-25 16:21:23] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-25 18:02:31] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-25 21:36:46] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-25 23:07:43] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-26 01:26:51] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-26 01:45:53] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-26 03:25:38] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-26 05:56:59] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-26 09:36:21] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-26 11:13:11] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-26 12:48:06] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-26 14:28:15] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-26 14:59:33] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-26 17:36:03] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-26 20:46:20] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-26 21:39:08] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-26 22:33:34] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-27 01:00:00] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-27 03:22:50] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-27 06:58:45] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
